trip_trip_id,trip_route_id,trip_direction_id,trip_start_time,trip_start_date,trip_schedule_relationship,vehicle_id,vehicle_label,vehicle_license_plate,vehicle_wheelchair_accessible,position_latitude,position_longitude,position_bearing,position_odometer,position_speed,current_stop_sequence,stop_id,current_status,timestamp,congestion_level,occupancy_status,occupancy_percentage,multi_carriage_details
,,0,,,0,102_-_YJ13_HNB,,,0,53.349544525146484,-2.203721046447754,359.0,0.0,0.0,0,,2,1707501050,0,0,0,
,,0,,,0,BUS_27,,,0,52.660972595214844,-2.1392459869384766,359.0,0.0,0.0,0,,2,1707579154,0,0,0,
VJf0a65e82e023b4bee4d46cbaa679021ede560c4e,73002,0,15:23:00,20240210,0,FBRI-33836,,,0,51.45313262939453,-2.589747905731201,116.0,0.0,0.0,3,,2,1707579166,0,0,0,
,,0,,,0,527-BV72_KKB,,,0,52.8154182434082,1.381126046180725,359.0,0.0,0.0,0,,2,1707577273,0,0,0,
VJ9c959c2a062cad45a05f6f2c3d21b24239033003,80066,0,14:25:00,20240210,0,FBRI-35177,,,0,51.45774459838867,-2.5926549434661865,229.0,0.0,0.0,25,,2,1707579167,0,0,0,
VJec14650d7c76a76f8e355d303899d602901901e1,7444,0,15:05:00,20240210,0,FBRI-35668,,,0,51.40455627441406,-2.75187611579895,213.0,0.0,0.0,17,,2,1707579163,0,0,0,
,,0,,,0,FBRI-39483,,,0,51.45384979248047,-2.597040891647339,359.0,0.0,0.0,0,,2,1707511247,0,0,0,
VJc22043964289a10aeb8cdce07571deeeed84dd8a,7285,0,15:00:00,20240210,0,FBRI-35681,,,0,51.44293975830078,-2.7762811183929443,321.0,0.0,0.0,14,,2,1707579163,0,0,0,
,,0,,,0,0394,,,0,53.95708084106445,-1.0782079696655273,359.0,0.0,0.0,0,,2,1707575076,0,1,0,
VJc18b02e4cb002f68e187336e8f221236a100e976,80065,0,14:08:00,20240210,0,FBRI-36233,,,0,51.45701599121094,-2.5939700603485107,234.0,0.0,0.0,47,,2,1707579139,0,0,0,
VJ45b62f027f177d2b80934e4f9da0114e84c44749,10230,0,15:23:00,20240210,0,FBRI-36821,,,0,51.384578704833984,-2.3740410804748535,294.0,0.0,0.0,5,,2,1707579163,0,0,0,
,,0,,,0,111_-_SN11_FFU,,,0,53.003787994384766,-2.133647918701172,359.0,0.0,0.0,0,,2,1707482583,0,0,0,
VJ99e11f8c1fe4ac6c1a8c78141da7624fd0600161,8163,0,14:24:00,20240210,0,FBRI-37335,,,0,51.455772399902344,-2.6045360565185547,359.0,0.0,0.0,25,,2,1707579166,0,0,0,
,,0,,,0,286,,,0,53.25931930541992,-1.913349986076355,322.0,0.0,0.0,0,,2,1707492006,0,0,0,
VJeef7ae2c71e050f9b7db4db97fac75d061560548,3607,0,14:52:00,20240210,0,FBRI-37343,,,0,51.491188049316406,-2.679605007171631,359.0,0.0,0.0,23,,2,1707579165,0,0,0,
VJa0b7f435831f6ce716ca9375f0e97f3f20226139,7590,0,18:00:00,20240209,0,523_-_SK07_CGG,,,0,52.90589904785156,1.0906709432601929,359.0,0.0,0.0,1,,2,1707501762,0,0,0,
,,0,,,0,517_-_BX07_AZJ,,,0,52.90245819091797,1.1051950454711914,359.0,0.0,0.0,0,,2,1707578577,0,0,0,
VJ4dbbc5f23d14faa4ada5d7829aeb3a39779be5ee,51879,0,14:43:00,20240209,0,AM53JUY,,,0,52.8030891418457,-0.6155760288238525,359.0,0.0,0.0,16,,2,1707493881,0,0,0,
,,0,,,0,61_-_DRZ_4018,,,0,53.14228439331055,-2.3568460941314697,290.0,0.0,0.0,0,,2,1707500332,0,0,0,
,,0,,,0,285,,,0,53.25938415527344,-2.1238250732421875,359.0,0.0,0.0,0,,2,1707558343,0,0,0,
VJb391978403b6fb11515b05006b3f46130bb660f7,39681,0,14:55:00,20240210,0,1209,,,0,51.361976623535156,-0.7982230186462402,205.0,0.0,0.0,20,,2,1707579163,0,0,0,
VJ1f5b9be3e2946d9ce2bcdd16f90f9409689063ff,7017,0,15:18:00,20240210,0,121_PN09_EMJ,,,0,52.90818786621094,1.0973360538482666,238.0,0.0,0.0,8,,1,1707579165,0,0,0,
,,0,,,0,23_-_MX62_ARF,,,0,53.022464752197266,-2.2410459518432617,232.0,0.0,0.0,0,,2,1707579156,0,0,0,
VJ582e2ace86da551abcba1b93768347d4208f50a8,5515,0,14:28:00,20240210,0,FBRI-37353,,,0,51.45465850830078,-2.5970211029052734,203.0,0.0,0.0,30,,2,1707579162,0,0,0,
VJ910540e7da92307781cae0da16274c3e10bb35e0,8396,0,15:27:00,20240210,0,FBRI-37354,,,0,51.41168212890625,-2.585150957107544,202.0,0.0,0.0,1,,2,1707579160,0,0,0,
VJ1a7707c72f721ec873e1da6bcaa78edd5ef9b843,8396,0,14:11:00,20240210,0,FBRI-37592,,,0,51.44529342651367,-2.59108304977417,228.0,0.0,0.0,35,,2,1707579166,0,0,0,
VJ293f2c69530ef81dee3c2f40691d094fd6200019,8396,0,14:26:00,20240210,0,FBRI-37608,,,0,51.470821380615234,-2.5933210849761963,29.0,0.0,0.0,33,,2,1707579146,0,0,0,
VJfd88b731298de2f51292958939faa124cc144ff8,3144,0,14:30:00,20240210,0,FBRI-39331,,,0,51.436946868896484,-2.6047110557556152,221.0,0.0,0.0,22,,2,1707579157,0,0,0,
VJc93a0e62eb50768592cce18a9507a103a1e8f1df,69980,0,15:00:00,20240210,0,FBRI-39339,,,0,51.522544860839844,-2.563994884490967,270.0,0.0,0.0,13,,2,1707579141,0,0,0,
VJ81c16aa57226b69efacffb31a639115185a9fc16,7044,0,15:10:00,20240210,0,FBRI-39408,,,0,51.45812225341797,-2.586503028869629,166.0,0.0,0.0,3,,2,1707579139,0,0,0,
VJa32e46779930d1cbd749c99c8207c215bc9cc874,73004,0,14:53:00,20240210,0,FBRI-47672,,,0,51.45456314086914,-2.5972959995269775,27.0,0.0,0.0,37,,2,1707579156,0,0,0,
VJ593bde9442ef21ec3d0c74a9a9c7b99a3c122b37,6517,0,15:25:00,20240210,0,FBRI-53854,,,0,51.395023345947266,-2.353317975997925,84.0,0.0,0.0,9,,2,1707579150,0,0,0,
VJ9b7d60b3fa141bb5578920fe54ffe01d70de1fcc,5115,0,14:20:00,20240210,0,FBRI-63194,,,0,51.456993103027344,-2.5855159759521484,156.0,0.0,0.0,33,,2,1707579139,0,0,0,
,,0,,,0,543_-_YX23_OTE,,,0,52.67853546142578,-2.0339250564575195,359.0,0.0,0.0,0,,2,1707523489,0,0,0,
VJb9455462b8f52fea0f0117fee8567d8e7d5a4f58,4799,0,14:27:00,20240210,0,FBRI-67105,,,0,51.377281188964844,-2.365365982055664,76.0,0.0,0.0,57,,2,1707579166,0,0,0,
VJfb3b550cd369736bd0651df518cc5188e668d1c9,5602,0,15:01:00,20240210,0,FMAN-SN12AGY,,,0,53.54361343383789,-2.1189799308776855,171.0,0.0,0.0,26,,2,1707579168,0,0,0,
VJd7939512fcf7fb086039b871248b04873a946712,4919,0,15:22:00,20240210,0,FMAN-SN12AHG,,,0,53.48384094238281,-2.232150077819824,51.0,0.0,0.0,2,,2,1707579146,0,0,0,
,,0,,,0,525,,,0,53.25934600830078,-1.913053035736084,359.0,0.0,0.0,0,,2,1707463303,0,0,0,
,,0,,,0,154_-_MX60_GXC,,,0,53.09823226928711,-2.4446399211883545,359.0,0.0,0.0,0,,2,1707463621,0,0,0,
,,0,,,0,DE503_-_LJ09_OLU,,,0,51.29823303222656,0.4305010139942169,101.0,0.0,0.0,0,,2,1707496395,0,0,0,
,,0,,,0,FBRI-1_Spare_MSH,,,0,51.451881408691406,-2.5955851078033447,359.0,0.0,0.0,0,,2,1707461456,0,0,0,
